     JD - 2.44e6,     RV [m/s], RV ERR [m/s], SMOOTH RV [m/s]
       16317.528,      4.66336,      1.08877,      1.64184
       16317.538,      2.11387,      1.09819,      2.15946
       16317.567,      2.84817,      1.15836,      2.37471
       16317.577,      1.92296,      1.08602,      2.80185
       16318.520,      2.25121,      1.09685,      2.62603
       16318.531,      2.79878,      1.06396,      2.43765
       16318.558,      5.69452,      1.05674,      2.14893
       16318.569,      1.96935,      1.12810,      2.22115
       16319.524,      3.70686,      1.09178,      2.21744
       16319.534,     -2.11786,      1.17505,      2.38320
       16319.552,     0.962989,      1.26120,      2.40497
       16319.562,      1.48741,      1.16826,      2.25052
       16321.539,      2.90832,      1.02715,      1.84268
       16321.549,      2.80735,      1.09211,      1.40203
       16321.570,      3.74628,      1.04131,      1.02179
       16322.529,      2.49071,      1.13683,      1.26223
       16322.540,      1.09976,      1.00291,      1.21986
       16322.565,      1.20829,      1.06280,     0.998218
       16323.531,     -2.87772,      1.16052,     0.915479
       16323.542,    -0.475886,      1.16908,      1.18548
       16323.571,     0.526984,      1.09378,      1.29321
       16328.518,     0.496926,      1.01704,      1.08455
       16328.525,    -0.950618,      1.03005,     0.886894
       16328.532,      1.99820,      1.09898,      1.11348
       16328.539,      5.77737,      1.06082,      1.50741
       16328.546,      4.93131,      1.12121,      1.76089
       16329.518,     0.195432,      1.11757,      2.00789
       16329.526,     -1.07447,      1.15889,      2.46602
       16329.533,      3.70079,      1.19651,      2.57507
       16329.540,      1.45541,      1.32595,      2.12947
       16329.547,      2.31248,      1.15123,      1.77246
       16330.520,      3.24393,      1.50644,      1.37699
       16330.528,      5.53635,      1.44089,      1.48583
       16330.535,     0.248919,      1.46960,      1.36215
       16330.542,     -2.90332,      1.64247,      1.11226
       16331.527,      1.85024,      1.51011,     0.985173
       16331.535,     0.581073,      1.60179,     0.784232
       16331.541,      1.39272,      1.60090,     0.943717
       16331.549,     -2.43493,      1.78382,     0.577246
       16332.521,     0.951956,      1.53357,     0.441686
       16332.528,    0.0574756,      1.43214,     0.899049
       16332.535,     0.102123,      1.35203,     0.633539
       16332.542,      4.99827,      1.40761,     0.549040
       16332.549,      1.50517,      1.51800,     0.301815
       16336.518,     -1.24224,      1.31375,     0.417672
       16336.525,      2.12767,      1.25155,     0.230599
       16336.532,     -1.07036,      1.38010,     0.287877
       16336.539,    -0.348416,      1.36174,    0.0129828
