      JD - 2.44e6,     RV [m/s], RV ERR [m/s], SMOOTH RV [m/s]
       16175.810,     -2.09201,     0.967501,     -1.47880
       16175.820,     -2.50944,     0.958880,     -1.45182
       16175.830,    -0.927366,     0.985525,     -1.52507
       16178.865,     -2.64054,     0.987752,     -1.66856
       16178.875,     -2.80454,      1.13084,     -1.69497
       16178.886,     0.232623,      1.06820,     -1.05207
       16178.897,     0.976119,      1.05877,    -0.890825
       16179.813,    -0.275630,     0.892940,    -0.777148
       16179.823,     -1.52489,     0.955497,     -1.01487
       16179.833,     -1.18192,     0.983908,    -0.960143
       16179.842,      1.17483,      1.07676,    -0.563764
       16182.809,    -0.318318,      1.00255,    -0.524089
       16182.818,     -1.25899,     0.946022,    -0.626596
       16182.827,     -3.54230,     0.929413,    -0.567581
       16182.836,     -2.03855,     0.915599,    -0.553035
       16184.815,      1.55563,      1.06719,    -0.381053
       16184.823,     0.669040,      1.05827,    -0.395285
       16184.832,    -0.151458,      1.03993,    -0.409702
       16184.840,     0.373538,      1.08015,    -0.162837
       16186.744,     -1.36488,     0.959962,   0.00321680
       16186.752,     0.709883,     0.988882,     0.184123
       16186.760,      1.01827,     0.981895,    0.0909688
       16186.767,    -0.476905,      1.01196,   -0.0833290
       16186.777,      1.45652,      1.05600,    -0.188623
       16186.784,     -1.71571,      1.06676,    -0.195700
       16186.791,   -0.0485888,      1.08881,   -0.0323918
       16186.799,     0.530938,      1.07332,    -0.250384
       16187.800,     -1.24824,      1.04723,    -0.492446
       16187.809,     -1.30969,      1.00860,    -0.356887
       16187.818,     0.295694,     0.963846,    -0.595301
       16187.827,     0.431510,     0.992628,    -0.297547
       16189.761,     -1.68803,      1.00208,    -0.807203
       16189.771,     -1.64441,     0.974675,     -1.16992
       16189.782,      1.01425,     0.958073,     -1.15460
       16189.793,     -1.16603,      1.06392,    -0.883665
       16190.786,      1.55958,      1.15176,    -0.846639
       16190.797,     -5.65480,      1.20225,    -0.862560
       16190.808,     -3.45894,      1.20821,    -0.739892
       16190.818,     -1.07971,      1.25821,    -0.453529
       16192.795,      1.67057,      1.05755,    -0.688986
       16192.805,     0.702982,      1.09336,    -0.719740
       16192.816,     0.256373,      1.00406,    -0.890519
       16192.827,    -0.338682,      1.01496,    -0.432883
       16194.779,      1.50558,      1.08733,   -0.0384675
       16194.790,     -1.57578,      1.07484,   -0.0487502
       16194.800,     -1.50432,      1.02624,   -0.0947803
       16194.811,    -0.318994,      1.09636,    -0.116564
       16196.845,    -0.620795,     0.979420,    -0.215156
       16196.854,     0.879631,      1.05138,    -0.111198
       16196.863,     -1.19282,      1.04229,    -0.433205
       16196.873,      1.16424,      1.04054,    -0.398099
       16196.887,     0.463362,     0.921653,    -0.452655
       16196.897,    -0.828144,      1.01431,    -0.545892
       16196.908,     0.804866,     0.929789,    -0.623707
       16196.916,     -2.03650,      1.11903,    -0.774887
       16197.666,     -1.18961,      1.01765,    -0.748642
       16197.676,     -2.10444,     0.914021,    -0.773866
       16197.686,     -1.34460,      1.04235,     -1.01082
       16197.718,     -1.47676,      1.20705,     -1.10356
       16197.750,    -0.783353,     0.925937,     -1.27321
       16197.760,    -0.904125,     0.948276,     -1.19787
